Average_MAR,Yawn
0.34418191394204806,0
0.5000724772665514,0
0.5164561489312856,0
0.4544334243406756,0
0.4082130224044816,0
0.34810004522634863,0
0.34119668593294206,0
0.317546633120394,0
0.32191715177156593,0
0.3194690376420525,0
0.3288894740774206,0
0.3449034601839708,0
0.3501486563740908,0
0.34783090161,0
0.3215509679680619,0
0.33117334175785224,0
0.33100633374551525,0
0.34340749005172877,0
0.34590112621596547,0
0.35090167387260174,0
0.35878980883590084,0
0.34590112621596547,0
0.3515102308280068,0
0.3583643604397659,0
0.4279738446588259,0
0.4929891829077096,0
0.43140425039759456,0
0.38646491264816973,0
0.36391011458071254,0
0.36391011458071254,0
0.36379412347673207,0
0.3432928234037377,0
0.34810004522634863,0
0.3479404489020794,0
0.3714143165491377,0
0.3435696277130149,0
0.36040214898022155,0
0.36834152882356547,0
0.3458637294780632,0
0.35533091921912147,0
0.38249429163614246,0
0.36970451929358966,0
0.35576478960990965,0
0.3628595206554236,0
0.384151775706432,0
0.37695089610518384,0
0.37156588330368123,0
0.35739244725370145,0
0.3625705046643797,0
0.35533091921912147,0
0.35518003434733764,0
0.3479404489020794,0
0.33344921706748376,0
0.35102473344769586,0
0.35847983918237675,0
0.36242565026463547,0
0.36779405887054123,0
0.3623115423801055,0
0.36936113922618435,0
0.376911314974597,0
0.3542853388098289,0
0.3945023441017072,0
0.3777167781844477,0
0.39226992066094263,0
0.38815992950255096,0
0.3734327165133374,0
0.3731288198241334,0
0.3505942082684614,0
0.35029154503801596,0
0.3523942536111776,0
0.376911314974597,0
0.362463710191258,0
0.35305612189569957,0
0.3552233644849901,0
0.37152797421994194,0
0.41329773702418565,0
0.5004078306136872,0
0.5005098506138529,0
0.4560701700396552,0
0.41415657320842575,0
0.38263564209581435,0
0.3677542952011596,0
0.35366774074625806,0
0.38249429163614246,0
0.3677542952011596,0
0.34590112621596547,0
0.3625705046643797,0
0.3751064414220977,0
0.36779405887054123,0
0.37514135045967184,0
0.36779405887054123,0
0.3582048037264071,0
0.35086934553847754,0
0.33060034585112164,0
0.35847983918237675,0
0.35305612189569957,0
0.3731173231744467,0
0.31741009690580824,0
0.3340234337907012,0
0.35739199052418424,0
0.35739199052418424,0
